SUBRGN	 SRCO2RTA 	SRCH4RTA	SRN2ORTA	 SRC2ERTA 	SRNOXRTA	SRSO2RTA	GGRSLOSS
AKGD	" 1,097.630 "	0.100	0.014	" 1,104.191 "	5.984	0.555	5.5
AKMS	 534.073 	0.027	0.005	 536.110 	8.309	0.713	5.5
AZNM	 846.616 	0.054	0.007	 850.158 	0.481	0.155	5.3
CAMX	 513.455 	0.032	0.004	 515.483 	0.475	0.044	5.3
ERCT	 818.600 	0.052	0.007	 822.039 	0.452	0.525	5.2
FRCC	 835.079 	0.049	0.006	 838.225 	0.288	0.152	5.3
HIMS	" 1,143.227 "	0.110	0.017	" 1,151.124 "	7.545	3.921	5.6
HIOA	" 1,652.952 "	0.178	0.027	" 1,665.483 "	3.848	6.771	5.6
MROE	" 1,526.374 "	0.139	0.020	" 1,535.829 "	0.975	0.389	5.3
MROW	 979.536 	0.104	0.015	 986.634 	0.728	0.938	5.3
NEWE	 528.238 	0.074	0.010	 532.979 	0.363	0.084	5.3
NWPP	 599.967 	0.056	0.008	 603.786 	0.504	0.338	5.3
NYCW	 634.612 	0.022	0.003	 635.957 	0.222	0.010	5.3
NYLI	" 1,203.927 "	0.138	0.018	" 1,212.668 "	0.860	0.114	5.3
NYUP	 233.512 	0.016	0.002	 234.499 	0.106	0.027	5.3
PRMS	" 1,602.184 "	0.085	0.014	" 1,608.496 "	3.910	4.292	0.0
RFCE	 652.458 	0.045	0.006	 655.374 	0.291	0.255	5.3
RFCM	" 1,153.058 "	0.101	0.014	" 1,159.809 "	0.618	0.813	5.3
RFCW	 984.977 	0.086	0.012	 990.818 	0.588	0.662	5.3
RMPA	" 1,144.801 "	0.101	0.014	" 1,151.617 "	0.619	0.321	5.3
SPNO	 954.032 	0.100	0.014	 960.829 	0.466	0.169	5.3
SPSO	 931.756 	0.060	0.009	 935.791 	0.635	0.627	5.3
SRMV	 740.359 	0.032	0.004	 742.433 	0.575	0.471	5.3
SRMW	" 1,480.699 "	0.156	0.023	" 1,491.350 "	1.146	2.564	5.3
SRSO	 860.179 	0.060	0.009	 864.183 	0.356	0.189	5.3
SRTV	 834.182 	0.075	0.011	 839.245 	0.358	0.464	5.3
SRVC	 623.111 	0.050	0.007	 626.283 	0.284	0.173	5.3